"Term/Year Code","Coll","Dept","Degree","Major code","Major Name","Conc code","Concentration Name (if any)","Total","Men","Women","Sex Unknown","Caucasian","Asian American","African American","Hispanic","Native American","Hawaiian/Pacific Isl","Multiracial","International","Race Unknown","All   African American","All    Native American","All Hawaiian/ Pac Isl","All Asian","URM","Illinois","Non-Illinois","Academic Program Code","programtype"
"120251","LP","468","PHD","5094","Informatics",NA,"None",79,44,35,0,16,12,6,3,0,0,0,42,0,6,0,0,12,9,22,57,"10KS5094PHD","Graduate"
"120251","LP","992","BS","5695","Information Sciences",NA,"None",435,234,200,1,82,172,36,50,0,0,7,80,8,41,2,0,179,88,307,128,"10LP5695BS","Undergraduate"
"120251","LP","992","BS","6074","Information Sciences + DS",NA,"None",406,235,170,1,60,185,8,18,0,0,15,111,9,9,2,1,203,28,169,237,"10LP6074BS","Undergraduate"
"120251","LP","992","CAS","0370","Library & Information Science",NA,"None",2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"10KS0370CAS","Graduate"
"120251","LP","992","CAS","0370","Library & Information Science",NA,"None",9,3,6,0,6,0,0,3,0,0,0,0,0,0,0,0,0,3,9,0,"10KS0370CASU","Graduate"
"120251","LP","992","MS","0370","Library & Information Science",NA,"None",216,42,171,3,149,13,8,18,1,0,12,13,2,15,5,2,19,35,105,111,"10KS0370MS","Graduate"
"120251","LP","992","MS","0370","Library & Information Science",NA,"None",382,61,302,19,271,26,19,43,0,0,18,0,5,27,4,1,39,68,232,150,"10KS0370MSU","Graduate"
"120251","LP","992","MS","4026","Bioinformatics","5956","Information Sciences",4,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,"10KS5956MS","Graduate"
"120251","LP","992","MS","5581","Information Management",NA,"None",359,185,173,1,4,6,1,1,0,0,1,345,1,1,0,1,7,3,9,350,"1PKS5581MS","Graduate"
"120251","LP","992","NDEG","0370","Library & Information Science",NA,"None",55,6,48,1,33,3,3,13,0,0,1,0,2,3,1,0,5,16,0,55,"10KS0370NDEU","Nondegree"
"120251","LP","992","NDEG","5695","Information Sciences",NA,"None",2,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,2,0,"10LP5695NDEG","Nondegree"
"120251","LP","992","PHD","0370","Library & Information Science",NA,"None",6,1,5,0,0,1,2,1,0,0,0,2,0,2,0,0,1,3,3,3,"10KS0370PHD","Graduate"
"120251","LP","992","PHD","5695","Information Sciences",NA,"None",114,50,64,0,17,7,8,9,0,0,1,72,0,8,1,0,8,18,17,97,"10KS5695PHD","Graduate"
"120251","LP",NA,"College total",NA,"School of Information Sciences",NA,"College total",2069,865,1178,26,640,426,92,159,1,0,55,669,27,113,15,5,474,272,877,1192,NA,NA
"120251","LT","869","MD","5641","Medicine",NA,"None",234,119,112,3,76,124,6,10,0,0,10,0,8,9,2,1,132,20,50,184,"10LT5641MD","Professional"
"120251","LT",NA,"College total",NA,"Carle Illinois Medicine",NA,"College total",234,119,112,3,76,124,6,10,0,0,10,0,8,9,2,1,132,20,50,184,NA,NA
"120251","NB","593","NDEG","0067","Nondegree",NA,"None",5,0,3,2,2,0,0,1,0,0,1,0,1,1,1,0,0,2,5,0,"10NB0067NDEG","Nondegree"
"120251","NB","898","NDEG","6207","Nondegree",NA,"None",98,37,60,1,55,4,7,8,0,0,4,12,8,8,4,0,6,17,0,98,"10NB6207NDGR","Nondegree"
"120251","NB","898","NDEG","6207","Nondegree",NA,"None",102,44,54,4,21,18,8,9,0,0,5,1,40,9,1,1,23,18,3,99,"10NB6207NDUG","Nondegree"
"120251","NB",NA,"College total",NA,"Provost & VC Acad Affairs",NA,"College total",205,81,117,7,78,22,15,18,0,0,10,13,49,18,6,1,29,37,8,197,NA,NA
